image_index,caption
113,a square in the middle of the frame
114,a small square on a pale background
115,one square shape
116,a star in the middle of the frame
117,"a single square, centred"
118,"a single triangle, centred"
119,picture of a star
120,a small star on a pale background
121,"a single circle, centred"
122,picture of a star
123,a small circle on a pale background
124,picture of a triangle
125,a square in the middle of the frame
126,"a single star, centred"
127,picture of a star
128,picture of a triangle
129,a small star on a pale background
130,a circle in the middle of the frame
131,"a single circle, centred"
132,picture of a triangle
133,picture of a circle
134,a small star on a pale background
135,"a single star, centred"
136,a circle in the middle of the frame
137,a small circle on a pale background
138,a small circle on a pale background
139,"a single circle, centred"
140,a circle in the middle of the frame
141,a triangle in the middle of the frame
142,a small star on a pale background
143,a square in the middle of the frame
144,"a single circle, centred"
145,one triangle shape
146,"a single circle, centred"
147,a small circle on a pale background
148,a circle in the middle of the frame
149,one circle shape
150,picture of a circle
151,a small triangle on a pale background
152,a small square on a pale background
153,"a single star, centred"
154,a small star on a pale background
155,one circle shape
156,a circle in the middle of the frame
157,a star in the middle of the frame
158,one square shape
159,a small circle on a pale background
160,"a single square, centred"
161,a small square on a pale background
162,a small circle on a pale background
163,"a single circle, centred"
164,a star in the middle of the frame
165,a star in the middle of the frame
166,a star in the middle of the frame
167,a small square on a pale background
168,picture of a circle
169,a small star on a pale background
170,a circle in the middle of the frame
171,a star in the middle of the frame
172,picture of a triangle
173,a square in the middle of the frame
174,picture of a circle
175,picture of a triangle
176,"a single star, centred"
177,"a single square, centred"
178,a small circle on a pale background
179,one square shape
180,one triangle shape
181,picture of a star
182,"a single square, centred"
183,"a single triangle, centred"
184,picture of a star
185,picture of a star
186,picture of a square
187,"a single circle, centred"
188,"a single triangle, centred"
189,one square shape
190,one square shape
191,"a single square, centred"
192,picture of a triangle
193,one circle shape
194,one star shape
195,a small square on a pale background
196,picture of a triangle
197,one star shape
198,picture of a circle
199,a triangle in the middle of the frame
200,picture of a circle
201,picture of a star
202,picture of a circle
203,"a single triangle, centred"
204,"a single square, centred"
205,picture of a star
206,one star shape
207,a small circle on a pale background
208,a small square on a pale background
209,a circle in the middle of the frame
210,picture of a square
211,picture of a square
212,a small star on a pale background
213,"a single circle, centred"
214,a triangle in the middle of the frame
215,one star shape
216,one triangle shape
217,picture of a square
218,a small circle on a pale background
219,"a single circle, centred"
220,one circle shape
221,a star in the middle of the frame
222,a small star on a pale background
223,a star in the middle of the frame
224,one triangle shape
225,a star in the middle of the frame
226,"a single star, centred"
227,a star in the middle of the frame
228,picture of a square
229,one triangle shape
230,a star in the middle of the frame
231,a small triangle on a pale background
232,"a single circle, centred"
233,a square in the middle of the frame
234,a circle in the middle of the frame
235,a star in the middle of the frame
236,a triangle in the middle of the frame
237,picture of a star
238,"a single star, centred"
239,"a single star, centred"
240,a small triangle on a pale background
241,a triangle in the middle of the frame
242,a star in the middle of the frame
243,picture of a circle
244,picture of a triangle
245,a small star on a pale background
246,a circle in the middle of the frame
247,"a single square, centred"
248,one triangle shape
249,a circle in the middle of the frame
250,picture of a star
251,a circle in the middle of the frame
252,"a single square, centred"
253,a square in the middle of the frame
254,one triangle shape
255,one circle shape
256,"a single star, centred"
257,one triangle shape
258,"a single circle, centred"
259,picture of a circle
260,one circle shape
261,picture of a square
262,picture of a triangle
263,a square in the middle of the frame
264,"a single square, centred"
265,a triangle in the middle of the frame
266,"a single star, centred"
267,"a single star, centred"
268,picture of a circle
269,"a single triangle, centred"
270,picture of a star
271,a small square on a pale background
272,picture of a square
273,picture of a star
274,one square shape
275,picture of a triangle
276,a triangle in the middle of the frame
277,picture of a star
278,one square shape
279,one star shape
280,a square in the middle of the frame
281,one triangle shape
282,a small square on a pale background
283,"a single square, centred"
284,"a single triangle, centred"
285,a small circle on a pale background
286,one circle shape
287,"a single circle, centred"
288,a circle in the middle of the frame
289,"a single star, centred"
290,"a single triangle, centred"
291,"a single triangle, centred"
292,one square shape
293,one circle shape
294,"a single square, centred"
295,a small star on a pale background
296,a small circle on a pale background
297,a triangle in the middle of the frame
298,"a single square, centred"
299,a star in the middle of the frame
300,picture of a star
301,one star shape
302,"a single square, centred"
303,picture of a triangle
304,one circle shape
305,a small circle on a pale background
306,picture of a triangle
307,one triangle shape
308,a small star on a pale background
309,a small circle on a pale background
310,picture of a circle
311,a star in the middle of the frame
312,a circle in the middle of the frame
313,one circle shape
314,a small circle on a pale background
315,a star in the middle of the frame
316,picture of a circle
317,"a single circle, centred"
318,a small square on a pale background
319,a small star on a pale background
320,a small star on a pale background
321,a small star on a pale background
322,a circle in the middle of the frame
323,picture of a triangle
324,one star shape
325,"a single circle, centred"
326,a circle in the middle of the frame
327,a small star on a pale background
328,"a single square, centred"
329,one square shape
330,one triangle shape
331,a small square on a pale background
332,one star shape
333,picture of a square
334,a square in the middle of the frame
335,"a single triangle, centred"
336,a small circle on a pale background
337,"a single circle, centred"
338,one square shape
339,a square in the middle of the frame
340,one circle shape
341,one triangle shape
342,picture of a triangle
343,picture of a triangle
344,a circle in the middle of the frame
345,a small triangle on a pale background
346,one triangle shape
347,one triangle shape
348,a small circle on a pale background
349,a circle in the middle of the frame
350,"a single triangle, centred"
351,"a single square, centred"
352,one triangle shape
353,picture of a star
354,a triangle in the middle of the frame
355,picture of a triangle
356,a small triangle on a pale background
357,one star shape
358,a small square on a pale background
359,picture of a star
360,picture of a square
361,one star shape
362,one circle shape
363,one circle shape
364,picture of a triangle
365,one circle shape
366,picture of a circle
367,picture of a star
368,a square in the middle of the frame
369,a circle in the middle of the frame
370,picture of a star
371,a triangle in the middle of the frame
372,a triangle in the middle of the frame
373,a triangle in the middle of the frame
374,one triangle shape
375,"a single circle, centred"
376,picture of a square
377,a square in the middle of the frame
378,a circle in the middle of the frame
379,a small circle on a pale background
380,a star in the middle of the frame
381,one circle shape
382,picture of a star
383,one circle shape
384,one circle shape
385,a small star on a pale background
386,a square in the middle of the frame
387,a circle in the middle of the frame
388,one circle shape
389,"a single square, centred"
390,one triangle shape
391,one square shape
392,one square shape
393,"a single triangle, centred"
394,"a single square, centred"
395,picture of a circle
396,picture of a circle
397,a small star on a pale background
398,a triangle in the middle of the frame
399,a small star on a pale background
400,picture of a circle
401,a triangle in the middle of the frame
402,a triangle in the middle of the frame
403,a small circle on a pale background
404,one triangle shape
405,picture of a circle
406,a small circle on a pale background
407,a small triangle on a pale background
408,a small square on a pale background
409,picture of a star
410,one circle shape
411,one star shape
412,one star shape
413,one circle shape
414,picture of a star
415,picture of a star
416,one square shape
417,picture of a star
418,a small circle on a pale background
419,"a single square, centred"
420,a square in the middle of the frame
421,a small star on a pale background
422,one square shape
423,"a single triangle, centred"
424,a small star on a pale background
425,one triangle shape
426,picture of a square
427,a small star on a pale background
428,picture of a circle
429,picture of a circle
430,a star in the middle of the frame
431,a square in the middle of the frame
432,"a single star, centred"
433,"a single square, centred"
434,picture of a triangle
435,a star in the middle of the frame
436,one star shape
437,a circle in the middle of the frame
438,a circle in the middle of the frame
439,picture of a square
440,a small circle on a pale background
441,a circle in the middle of the frame
442,a star in the middle of the frame
443,picture of a square
444,a circle in the middle of the frame
445,"a single circle, centred"
446,picture of a triangle
447,one triangle shape
448,one circle shape
449,picture of a triangle
450,picture of a circle
451,a triangle in the middle of the frame
452,"a single triangle, centred"
453,a small square on a pale background
454,a triangle in the middle of the frame
455,picture of a circle
456,"a single triangle, centred"
457,a star in the middle of the frame
458,picture of a star
459,"a single triangle, centred"
460,picture of a triangle
461,a small star on a pale background
462,a small circle on a pale background
463,picture of a square
464,"a single star, centred"
465,"a single star, centred"
466,picture of a square
467,one star shape
468,a triangle in the middle of the frame
469,a small circle on a pale background
470,picture of a circle
471,one star shape
472,a circle in the middle of the frame
473,"a single star, centred"
474,a small square on a pale background
475,"a single circle, centred"
476,"a single square, centred"
477,a star in the middle of the frame
478,a small triangle on a pale background
479,picture of a triangle
480,a small square on a pale background
481,a circle in the middle of the frame
482,one triangle shape
483,picture of a square
484,picture of a star
485,a small triangle on a pale background
486,one triangle shape
487,a square in the middle of the frame
488,a triangle in the middle of the frame
489,"a single triangle, centred"
490,one square shape
491,a star in the middle of the frame
492,one star shape
493,"a single triangle, centred"
494,picture of a circle
495,a small triangle on a pale background
496,picture of a triangle
497,a small triangle on a pale background
498,one star shape
499,"a single triangle, centred"
500,a circle in the middle of the frame
501,a circle in the middle of the frame
502,picture of a circle
503,a star in the middle of the frame
504,picture of a star
505,one circle shape
506,a star in the middle of the frame
507,"a single circle, centred"
508,a star in the middle of the frame
509,picture of a star
510,one circle shape
511,"a single star, centred"
512,a star in the middle of the frame
513,one square shape
514,"a single triangle, centred"
515,a small star on a pale background
516,a triangle in the middle of the frame
517,a small circle on a pale background
518,a small triangle on a pale background
519,a small square on a pale background
520,"a single circle, centred"
521,picture of a circle
522,"a single square, centred"
523,a small circle on a pale background
524,a square in the middle of the frame
525,a star in the middle of the frame
526,a small star on a pale background
527,one square shape
528,one star shape
529,a star in the middle of the frame
530,"a single circle, centred"
531,a square in the middle of the frame
532,one triangle shape
533,"a single star, centred"
534,a star in the middle of the frame
535,one star shape
536,a star in the middle of the frame
537,one triangle shape
538,one star shape
539,picture of a triangle
540,picture of a circle
541,picture of a triangle
542,"a single square, centred"
543,one triangle shape
544,a small star on a pale background
545,"a single square, centred"
546,a small square on a pale background
547,picture of a square
548,"a single triangle, centred"
549,"a single square, centred"
550,a star in the middle of the frame
551,a triangle in the middle of the frame
552,"a single triangle, centred"
553,one circle shape
554,a small star on a pale background
555,a circle in the middle of the frame
556,a triangle in the middle of the frame
557,a small triangle on a pale background
558,picture of a triangle
559,picture of a square
560,picture of a circle
561,"a single square, centred"
562,one circle shape
563,a triangle in the middle of the frame
564,picture of a star
565,one circle shape
566,picture of a circle
567,one circle shape
568,"a single circle, centred"
569,"a single square, centred"
570,picture of a circle
571,a triangle in the middle of the frame
572,one triangle shape
573,a triangle in the middle of the frame
574,one circle shape
575,a triangle in the middle of the frame
576,a square in the middle of the frame
577,a triangle in the middle of the frame
578,one triangle shape
579,one circle shape
580,a star in the middle of the frame
581,"a single star, centred"
582,one triangle shape
583,a square in the middle of the frame
584,"a single star, centred"
585,one triangle shape
586,"a single circle, centred"
587,one circle shape
588,"a single star, centred"
589,"a single square, centred"
590,a small triangle on a pale background
591,"a single triangle, centred"
592,"a single square, centred"
593,picture of a triangle
594,a circle in the middle of the frame
595,one square shape
596,"a single square, centred"
597,a square in the middle of the frame
598,picture of a triangle
599,a small triangle on a pale background
600,"a single circle, centred"
601,a square in the middle of the frame
602,a small circle on a pale background
603,picture of a circle
604,a circle in the middle of the frame
605,"a single square, centred"
606,one circle shape
607,"a single star, centred"
608,a small square on a pale background
609,picture of a square
610,"a single star, centred"
611,picture of a star
612,a small circle on a pale background
613,a triangle in the middle of the frame
614,one square shape
615,picture of a circle
616,"a single square, centred"
617,a small circle on a pale background
618,"a single square, centred"
619,one triangle shape
620,"a single star, centred"
621,one square shape
622,a small star on a pale background
623,"a single square, centred"
624,a small square on a pale background
625,one triangle shape
626,a triangle in the middle of the frame
627,"a single triangle, centred"
628,a star in the middle of the frame
629,a circle in the middle of the frame
630,a triangle in the middle of the frame
631,a small circle on a pale background
632,picture of a triangle
633,picture of a square
634,a star in the middle of the frame
635,a small triangle on a pale background
636,a small triangle on a pale background
637,"a single triangle, centred"
638,"a single square, centred"
639,picture of a square
640,a circle in the middle of the frame
641,"a single triangle, centred"
642,picture of a circle
643,one square shape
644,a triangle in the middle of the frame
645,"a single square, centred"
646,a circle in the middle of the frame
647,a circle in the middle of the frame
648,picture of a triangle
649,a triangle in the middle of the frame
650,a small square on a pale background
651,a square in the middle of the frame
652,picture of a triangle
653,picture of a circle
654,"a single star, centred"
655,picture of a square
656,a small star on a pale background
657,a triangle in the middle of the frame
658,a small circle on a pale background
659,"a single square, centred"
660,picture of a triangle
661,a square in the middle of the frame
662,one circle shape
663,a triangle in the middle of the frame
664,a small triangle on a pale background
665,a small square on a pale background
666,a triangle in the middle of the frame
667,a small triangle on a pale background
668,"a single square, centred"
669,picture of a star
670,picture of a circle
671,"a single square, centred"
672,picture of a triangle
673,a small triangle on a pale background
674,"a single star, centred"
675,a small triangle on a pale background
676,a small star on a pale background
677,"a single square, centred"
678,"a single star, centred"
679,a small square on a pale background
680,a star in the middle of the frame
681,a small circle on a pale background
682,a small triangle on a pale background
683,a square in the middle of the frame
684,"a single circle, centred"
685,one circle shape
686,a small star on a pale background
687,"a single square, centred"
688,one square shape
689,"a single square, centred"
690,"a single star, centred"
691,a small star on a pale background
692,a small star on a pale background
693,a small star on a pale background
694,a square in the middle of the frame
695,"a single square, centred"
696,one triangle shape
697,picture of a triangle
698,picture of a square
699,picture of a circle
700,picture of a star
701,a square in the middle of the frame
702,a small star on a pale background
703,one square shape
704,a small star on a pale background
705,a small triangle on a pale background
706,"a single circle, centred"
707,a square in the middle of the frame
708,one circle shape
709,"a single circle, centred"
710,a small triangle on a pale background
711,"a single triangle, centred"
712,one circle shape
713,one triangle shape
714,one square shape
715,one triangle shape
716,a small star on a pale background
717,a small square on a pale background
718,a triangle in the middle of the frame
719,a small circle on a pale background
720,one circle shape
721,a small square on a pale background
722,picture of a star
723,"a single triangle, centred"
724,a triangle in the middle of the frame
725,picture of a circle
726,a star in the middle of the frame
727,one circle shape
728,a small square on a pale background
729,one square shape
730,one star shape
731,"a single square, centred"
732,a triangle in the middle of the frame
733,picture of a square
734,"a single triangle, centred"
735,a small circle on a pale background
736,a star in the middle of the frame
737,"a single star, centred"
738,a small square on a pale background
739,a small triangle on a pale background
740,picture of a star
741,a triangle in the middle of the frame
742,one triangle shape
743,a star in the middle of the frame
744,picture of a star
745,a triangle in the middle of the frame
746,picture of a star
747,a small square on a pale background
748,picture of a square
749,"a single square, centred"
750,picture of a triangle
751,picture of a star
752,a circle in the middle of the frame
753,"a single square, centred"
754,picture of a triangle
755,a small star on a pale background
756,picture of a square
757,"a single star, centred"
758,a square in the middle of the frame
759,one circle shape
760,picture of a square
761,a small star on a pale background
762,picture of a square
763,"a single circle, centred"
764,a small square on a pale background
765,a small star on a pale background
766,picture of a circle
767,picture of a circle
768,picture of a triangle
769,one circle shape
770,"a single star, centred"
771,"a single square, centred"
772,picture of a circle
773,a star in the middle of the frame
774,one square shape
775,a triangle in the middle of the frame
776,"a single triangle, centred"
777,a triangle in the middle of the frame
778,a small square on a pale background
779,a small square on a pale background
780,one square shape
781,"a single triangle, centred"
782,a small circle on a pale background
783,a circle in the middle of the frame
784,a star in the middle of the frame
785,a circle in the middle of the frame
786,"a single star, centred"
787,"a single triangle, centred"
788,"a single triangle, centred"
789,a circle in the middle of the frame
790,a square in the middle of the frame
791,"a single star, centred"
792,a small circle on a pale background
793,a star in the middle of the frame
794,one square shape
795,one star shape
796,a square in the middle of the frame
797,one square shape
798,one triangle shape
799,picture of a star
800,"a single circle, centred"
801,"a single circle, centred"
802,picture of a circle
803,"a single triangle, centred"
804,a small circle on a pale background
805,a star in the middle of the frame
806,picture of a triangle
807,"a single star, centred"
808,a triangle in the middle of the frame
809,one square shape
810,a triangle in the middle of the frame
811,"a single square, centred"
812,"a single circle, centred"
813,picture of a square
814,a small circle on a pale background
815,"a single circle, centred"
816,picture of a square
817,one square shape
818,one circle shape
819,a triangle in the middle of the frame
820,picture of a triangle
821,a star in the middle of the frame
822,picture of a triangle
823,one circle shape
824,one star shape
825,one circle shape
826,a small square on a pale background
827,picture of a circle
828,"a single square, centred"
829,a star in the middle of the frame
830,a triangle in the middle of the frame
831,one star shape
832,picture of a circle
833,"a single triangle, centred"
834,picture of a circle
835,one square shape
836,a small circle on a pale background
837,picture of a circle
838,"a single star, centred"
839,"a single square, centred"
840,one square shape
841,a square in the middle of the frame
842,"a single square, centred"
843,a small circle on a pale background
844,"a single star, centred"
845,a small triangle on a pale background
846,a triangle in the middle of the frame
847,a small circle on a pale background
848,one triangle shape
849,a small star on a pale background
850,one triangle shape
851,"a single star, centred"
852,picture of a square
853,"a single square, centred"
854,"a single triangle, centred"
855,"a single square, centred"
856,picture of a circle
857,one circle shape
858,one circle shape
859,one star shape
860,a square in the middle of the frame
861,a circle in the middle of the frame
862,picture of a triangle
863,"a single square, centred"
864,a triangle in the middle of the frame
865,a star in the middle of the frame
866,one star shape
867,one circle shape
868,picture of a square
869,a small star on a pale background
870,a small circle on a pale background
871,one circle shape
872,one square shape
873,picture of a circle
874,"a single triangle, centred"
875,a small square on a pale background
876,a small square on a pale background
877,a small square on a pale background
878,one star shape
879,one circle shape
880,picture of a circle
881,a circle in the middle of the frame
882,one circle shape
883,a small star on a pale background
884,one triangle shape
885,a small circle on a pale background
886,picture of a star
887,picture of a square
888,a triangle in the middle of the frame
889,picture of a square
890,a star in the middle of the frame
891,picture of a square
892,a small triangle on a pale background
893,a square in the middle of the frame
894,a star in the middle of the frame
895,"a single square, centred"
896,"a single circle, centred"
897,a circle in the middle of the frame
898,picture of a circle
899,picture of a triangle
900,one triangle shape
901,picture of a star
902,one circle shape
903,a small square on a pale background
904,a small triangle on a pale background
905,picture of a square
906,picture of a circle
907,"a single circle, centred"
908,one triangle shape
909,one triangle shape
910,a small square on a pale background
911,one triangle shape
912,picture of a circle
913,picture of a square
914,picture of a star
915,"a single triangle, centred"
916,a circle in the middle of the frame
917,a small triangle on a pale background
918,a star in the middle of the frame
919,picture of a circle
920,a small square on a pale background
921,picture of a star
922,a triangle in the middle of the frame
923,picture of a circle
924,"a single star, centred"
925,one triangle shape
926,a circle in the middle of the frame
927,"a single circle, centred"
928,a triangle in the middle of the frame
929,a square in the middle of the frame
930,a triangle in the middle of the frame
931,picture of a circle
932,"a single circle, centred"
933,one circle shape
934,a star in the middle of the frame
935,a small circle on a pale background
936,a triangle in the middle of the frame
937,a star in the middle of the frame
938,a small square on a pale background
939,a small circle on a pale background
940,a small triangle on a pale background
941,a star in the middle of the frame
942,a small triangle on a pale background
943,a small square on a pale background
944,"a single triangle, centred"
945,picture of a circle
946,one square shape
947,one square shape
948,picture of a star
949,a small circle on a pale background
950,a triangle in the middle of the frame
951,"a single square, centred"
952,"a single square, centred"
953,"a single circle, centred"
954,a small square on a pale background
955,a square in the middle of the frame
956,a square in the middle of the frame
957,a triangle in the middle of the frame
958,"a single circle, centred"
959,a small square on a pale background
960,one square shape
961,"a single square, centred"
962,picture of a square
963,one star shape
964,"a single triangle, centred"
965,one star shape
966,"a single star, centred"
967,a small circle on a pale background
968,"a single triangle, centred"
969,a small triangle on a pale background
970,a star in the middle of the frame
971,"a single star, centred"
972,a small circle on a pale background
973,one circle shape
974,a small circle on a pale background
975,picture of a circle
976,one square shape
977,"a single square, centred"
978,a small square on a pale background
979,a star in the middle of the frame
980,picture of a triangle
981,one square shape
982,picture of a circle
983,"a single circle, centred"
984,a small circle on a pale background
985,picture of a circle
986,picture of a square
987,"a single square, centred"
988,"a single circle, centred"
989,a star in the middle of the frame
990,"a single circle, centred"
991,picture of a triangle
992,a star in the middle of the frame
993,one square shape
994,one triangle shape
995,a triangle in the middle of the frame
996,a circle in the middle of the frame
997,"a single star, centred"
998,a square in the middle of the frame
999,a small triangle on a pale background
1000,picture of a triangle
1001,a triangle in the middle of the frame
1002,a small circle on a pale background
1003,one star shape
1004,picture of a circle
1005,a small circle on a pale background
1006,"a single circle, centred"
1007,one star shape
1008,a triangle in the middle of the frame
1009,picture of a star
1010,picture of a star
1011,a star in the middle of the frame
1012,a small square on a pale background
1013,"a single triangle, centred"
1014,a square in the middle of the frame
1015,one triangle shape
1016,a small square on a pale background
1017,picture of a star
1018,a star in the middle of the frame
1019,a triangle in the middle of the frame
1020,a small star on a pale background
1021,a circle in the middle of the frame
1022,a small circle on a pale background
1023,a star in the middle of the frame
1024,a star in the middle of the frame
1025,one square shape
1026,picture of a square
1027,"a single star, centred"
1028,a triangle in the middle of the frame
1029,"a single triangle, centred"
1030,a star in the middle of the frame
1031,a small star on a pale background
1032,a small star on a pale background
1033,picture of a square
1034,a triangle in the middle of the frame
1035,"a single circle, centred"
1036,one square shape
1037,"a single circle, centred"
1038,one square shape
1039,a small triangle on a pale background
1040,one triangle shape
1041,picture of a triangle
1042,one square shape
1043,a circle in the middle of the frame
1044,a triangle in the middle of the frame
1045,one circle shape
1046,a square in the middle of the frame
1047,a small square on a pale background
1048,a star in the middle of the frame
1049,a circle in the middle of the frame
1050,"a single triangle, centred"
1051,one square shape
1052,one star shape
1053,picture of a triangle
1054,a small star on a pale background
1055,picture of a square
1056,picture of a circle
1057,a small square on a pale background
1058,a small star on a pale background
1059,"a single star, centred"
1060,"a single circle, centred"
1061,one triangle shape
1062,a circle in the middle of the frame
1063,a small star on a pale background
1064,a small square on a pale background
1065,one star shape
1066,picture of a triangle
1067,a circle in the middle of the frame
1068,a small triangle on a pale background
1069,picture of a star
1070,"a single circle, centred"
1071,one triangle shape
1072,a star in the middle of the frame
1073,a circle in the middle of the frame
1074,a star in the middle of the frame
1075,"a single triangle, centred"
1076,"a single star, centred"
1077,"a single circle, centred"
1078,"a single square, centred"
1079,a small triangle on a pale background
1080,"a single star, centred"
1081,"a single circle, centred"
1082,a square in the middle of the frame
1083,picture of a circle
1084,picture of a square
1085,picture of a square
1086,one triangle shape
1087,one triangle shape
1088,"a single triangle, centred"
1089,picture of a square
1090,"a single star, centred"
1091,one square shape
1092,one circle shape
1093,"a single triangle, centred"
1094,"a single star, centred"
1095,"a single circle, centred"
1096,"a single star, centred"
1097,picture of a star
1098,a circle in the middle of the frame
1099,picture of a square
1100,a small circle on a pale background
1101,one square shape
1102,a square in the middle of the frame
1103,a star in the middle of the frame
1104,one star shape
1105,one triangle shape
1106,a small triangle on a pale background
1107,a small square on a pale background
1108,a triangle in the middle of the frame
1109,a triangle in the middle of the frame
1110,"a single triangle, centred"
1111,a star in the middle of the frame
1112,"a single star, centred"
1113,one star shape
1114,picture of a square
1115,a square in the middle of the frame
1116,"a single triangle, centred"
1117,picture of a circle
1118,one triangle shape
1119,"a single triangle, centred"
1120,a small circle on a pale background
1121,a circle in the middle of the frame
1122,one square shape
1123,picture of a star
1124,"a single circle, centred"
1125,one star shape
1126,"a single circle, centred"
1127,one square shape
1128,picture of a triangle
1129,a small circle on a pale background
1130,a star in the middle of the frame
1131,a triangle in the middle of the frame
1132,"a single square, centred"
1133,a small star on a pale background
1134,picture of a star
1135,a small star on a pale background
1136,picture of a star
1137,one circle shape
1138,one square shape
1139,"a single star, centred"
1140,picture of a circle
1141,picture of a star
1142,picture of a square
1143,a small triangle on a pale background
1144,a small star on a pale background
1145,a circle in the middle of the frame
1146,a small circle on a pale background
1147,a triangle in the middle of the frame
1148,picture of a star
1149,a small circle on a pale background
1150,picture of a circle
1151,a circle in the middle of the frame
1152,picture of a triangle
1153,a star in the middle of the frame
1154,picture of a square
1155,a small triangle on a pale background
1156,a small triangle on a pale background
1157,a triangle in the middle of the frame
1158,picture of a triangle
1159,one square shape
1160,a circle in the middle of the frame
1161,a small triangle on a pale background
1162,a small star on a pale background
1163,"a single square, centred"
1164,"a single circle, centred"
1165,a star in the middle of the frame
1166,a small star on a pale background
1167,picture of a triangle
1168,one circle shape
1169,picture of a star
1170,a small square on a pale background
1171,a circle in the middle of the frame
1172,"a single star, centred"
1173,a small triangle on a pale background
1174,"a single circle, centred"
1175,one circle shape
1176,"a single square, centred"
1177,"a single triangle, centred"
1178,one star shape
1179,a square in the middle of the frame
1180,picture of a star
1181,a small square on a pale background
1182,picture of a star
1183,a square in the middle of the frame
1184,a small circle on a pale background
1185,picture of a circle
1186,"a single square, centred"
1187,a triangle in the middle of the frame
1188,a star in the middle of the frame
1189,"a single square, centred"
1190,picture of a triangle
1191,one square shape
1192,"a single circle, centred"
1193,a square in the middle of the frame
1194,"a single circle, centred"
1195,a triangle in the middle of the frame
1196,"a single star, centred"
1197,one star shape
1198,one triangle shape
1199,one circle shape
1200,"a single triangle, centred"
1201,a small triangle on a pale background
1202,picture of a circle
1203,"a single triangle, centred"
1204,a small square on a pale background
1205,a small star on a pale background
1206,a triangle in the middle of the frame
1207,a star in the middle of the frame
1208,one star shape
1209,a small circle on a pale background
1210,one star shape
1211,one circle shape
1212,a small circle on a pale background
1213,one square shape
1214,picture of a circle
1215,one triangle shape
1216,a square in the middle of the frame
1217,a small triangle on a pale background
1218,one triangle shape
1219,one circle shape
1220,"a single star, centred"
1221,a circle in the middle of the frame
1222,a small triangle on a pale background
1223,picture of a triangle
1224,a small triangle on a pale background
1225,a triangle in the middle of the frame
1226,a circle in the middle of the frame
1227,a small star on a pale background
1228,a small circle on a pale background
1229,picture of a circle
1230,a star in the middle of the frame
1231,a square in the middle of the frame
1232,a small star on a pale background
1233,"a single star, centred"
1234,a triangle in the middle of the frame
1235,a circle in the middle of the frame
1236,a small star on a pale background
1237,picture of a triangle
1238,one square shape
1239,picture of a circle
1240,a small star on a pale background
1241,one circle shape
1242,"a single square, centred"
1243,a circle in the middle of the frame
1244,one circle shape
1245,one star shape
1246,picture of a circle
1247,a square in the middle of the frame
1248,picture of a square
1249,one square shape
1250,picture of a square
1251,picture of a square
1252,a circle in the middle of the frame
1253,one star shape
1254,picture of a square
1255,"a single square, centred"
1256,picture of a circle
1257,a triangle in the middle of the frame
1258,a star in the middle of the frame
1259,"a single square, centred"
1260,a circle in the middle of the frame
1261,a small square on a pale background
1262,"a single triangle, centred"
